transaction_date,day_of_week,city,lat,long,transaction_type,description,detailed_notes,category,subcategory,amount_USD,amount_ARS,ARS/USD,Questions
6/16/23,Friday,Santiago,-33.4489,-70.6693,credit,HAULMER*WHAT 2 DO IN CHIL,bar crawl,Entertainment,Alcohol,50.42,,,
6/16/23,Friday,Santiago,-33.4489,-70.6693,credit,REDELCO*FUKAI / ROSITA,Dinner at mexican place patio bella,Dining,,81.82,,,
6/17/23,Saturday,Santiago,-33.4489,-70.6693,credit,YA GANA*ROXANA MARIA GUZM,mojitos plaza azual,Entertainment,Alcohol,32.14,,,
6/17/23,Saturday,Santiago,-33.4489,-70.6693,credit,TECNIVE,phone adapters,Misc,,37.78,,,
6/18/23,Sunday,Santiago,-33.4489,-70.6693,credit,CAFE DE LA CANDELARIA,coffee and pastry in barrio Italia,Snacks,Coffee,10.64,,,
6/18/23,Sunday,Santiago,-33.4489,-70.6693,credit,BOMBO BURGER,burgers and cokes in patio bellavista,Dining,,37.36,,,
6/18/23,Sunday,Santiago,-33.4489,-70.6693,credit,SOCIEDAD F R LIMITADA,Dinner with that guy in Barrio Italia,Dining,,85.83,,,Gain of cash??
6/19/23,Monday,Santiago,-33.4489,-70.6693,credit,KELE PROVIDENCIA,lunch after walking tour,Dining,,29.04,,,Where is walking tour tip?
6/20/23,Tuesday,Santiago,-33.4489,-70.6693,cash,phone adapter,adapter to US,Misc,,2.50,,,estimate usd
6/20/23,Tuesday,Santiago,-33.4489,-70.6693,credit,TELEFONICA 103 GAL IMPERI,phone sims and plan,Misc,,12.55,,,
6/20/23,Tuesday,Santiago,-33.4489,-70.6693,cash,Locks,2 locks,Misc,,23.76,,,estimate usd
6/20/23,Tuesday,Santiago,-33.4489,-70.6693,credit,EMP. LA ROSA MERCED,corner café by the park,Dining,,40.26,,,
6/21/23,Wednesday,Santiago,-33.4489,-70.6693,cash,Toothpaste,needed toothpaste,Health,,2.38,,,
6/21/23,Wednesday,Santiago,-33.4489,-70.6693,cash,Completo,gross street hot dogs,Dining,,4.38,,,
6/21/23,Wednesday,Santiago,-33.4489,-70.6693,cash,Taxi,transportation during excursion,Transportation,,12.52,,,
6/21/23,Wednesday,Santiago,-33.4489,-70.6693,credit,SANTA ISABEL PTE ALTO,lunch for group hike,Groceries,,13.61,,,
6/21/23,Wednesday,Valparaiso,-33.0472,-71.6127,credit,TURBUS WEB 2,Santiago to Valpo Bus,Transportation,,15.79,,,
6/21/23,Wednesday,Santiago,-33.4489,-70.6693,cash,Tip for Hike,felipe tip,Excursion,,50.08,,,
6/22/23,Thursday,Valparaiso,-33.0472,-71.6127,credit,PAYU *UBER TRIP,uber to hostal in valpo,Transportation,,5.22,,,
6/22/23,Thursday,Santiago,-33.4489,-70.6693,credit,PAYU *UBER TRIP,uber to bus station,Transportation,,6.47,,,
6/22/23,Thursday,La Serena,-29.9027,-71.2519,credit,WWW.HOSTELWORLD.COM,deposit for La Serena hostel,Accommodation,Hostel,9.70,,,
6/22/23,Thursday,Valparaiso,-33.0472,-71.6127,cash,Drinks,,Entertainment,Alcohol,18.78,,,
6/22/23,Thursday,Valparaiso,-33.0472,-71.6127,credit,SOCIEDAD GASTRONOMICA MAR,,Dining,,53.65,,,
